row_id,cgid,label,description
2228,16174,ro,read only
2229,16175,ro,read only
2230,16176,res,resident/fellow/pa/np
2231,16177,ro,read only
2232,16178,rt,respiratory
2233,16179,res,resident/fellow/pa/np
2234,16180,rehab,rehabilitation
2235,16181,md,
2236,16182,cm,case manager
2237,16183,rehab,rehabilitation
2238,16184,rn,rn
2239,16185,md,attending
2240,16186,rn,rn
2241,16187,rn,rn
2242,16188,sw,social worker
2243,16189,ro,read only
2244,16190,ro,read only
2245,16191,md,
2246,16192,ro,read only
2247,16193,res,resident/fellow/pa/np
2248,16194,res,resident/fellow/pa/np
2249,16195,ro,read only
2250,16196,rph,pharmacist
2251,16197,cm,case manager
2252,16198,mds,resident/fellow/pa/np
2253,16199,md,
2254,16200,rn,rn
2255,16201,res,resident/fellow/pa/np
2256,16202,np,read only
2257,16203,ro,read only
2258,16204,res,resident/fellow/pa/np
2259,16205,ro,read only
2260,16206,md,
2261,16207,md,
2262,16208,md,
2263,16209,res,read only
2264,16210,ro,read only
2265,16211,rph,pharmacist
2266,16212,ro,read only
2267,16213,rehab,rehabilitation
2268,16214,res,resident/fellow/pa/np
2269,16215,md,attending
2270,16216,res,resident/fellow/pa/np
2271,16217,cm,case manager
2272,16218,srt,
2273,16219,res,resident/fellow/pa/np
2274,16220,md,attending
2275,16221,ro,read only
2276,16222,res,resident/fellow/pa/np
2277,16223,rd,dietitian
2278,16224,pct,pct/na
2279,16225,md,
2280,16226,res,resident/fellow/pa/np
2281,16227,rd,dietitian
2282,16228,res,resident/fellow/pa/np
2283,16229,rn,rn
2284,16230,md,
2285,16231,ro,read only
2286,16232,ro,read only
2287,16233,cm,case manager
2288,16234,rn,rn
2289,16235,md,
2290,16236,cowork,pct/na
2291,16237,md,attending
2292,16238,res,resident/fellow/pa/np
2293,16239,res,resident/fellow/pa/np
2294,16240,admin,administrator
2295,16241,res,resident/fellow/pa/np
2296,16242,ro,read only
2297,16243,res,resident/fellow/pa/np
2298,16244,ro,read only
2299,16245,res,resident/fellow/pa/np
2300,16246,rn,rn
2301,16247,res,resident/fellow/pa/np
2302,16248,pct,pct/na
2303,16249,cowker,
2304,16250,md,read only
2305,16251,res,resident/fellow/pa/np
2306,16252,uco,
2307,16253,md,
2308,16254,pc,pastoral care
2309,16255,ro,read only
2310,16256,rehab,rehabilitation
2311,16257,md,attending
2312,16258,res,resident/fellow/pa/np
2313,16259,res,resident/fellow/pa/np
2314,16260,res,resident/fellow/pa/np
2315,16261,ro,read only
2316,16262,res,resident/fellow/pa/np
2317,16263,res,resident/fellow/pa/np
2318,16264,rn,rn
2319,16265,ro,read only
2320,16266,rph,pharmacist
2321,16267,cm,case manager
2322,16268,co-wor,pct/na
2323,16269,res,resident/fellow/pa/np
2324,16270,res,resident/fellow/pa/np
2325,16271,res,resident/fellow/pa/np
2326,16272,res,resident/fellow/pa/np
2327,16273,rn,rn
2328,16274,rrt,
2329,16275,ro,read only
2330,16276,md,resident/fellow/pa/np
2331,16277,md,
2332,16278,md,
2333,16279,md,resident/fellow/pa/np
2334,16280,mds,resident/fellow/pa/np
2335,16281,mds,
2336,16282,res,resident/fellow/pa/np
2337,16283,res,resident/fellow/pa/np
2338,16284,rn,rn
2339,16285,sw,social worker
2340,16286,ms,
2341,16287,mds,read only
2342,16288,rn,
2343,16289,res,resident/fellow/pa/np
2344,16290,ro,read only
2345,16291,ro,read only
2346,16292,ro,read only
2347,16293,md,resident/fellow/pa/np
2348,16294,rn,rn
2349,16295,rehab,rehabilitation
2350,16296,ro,read only
2351,16297,rth,respiratory
2352,16298,ro,read only
891,14891,rn,rn
892,14892,md,read only
893,14893,res,resident/fellow/pa/np
894,14894,res,resident/fellow/pa/np
895,14895,res,resident/fellow/pa/np
896,14896,md,
897,14897,res,resident/fellow/pa/np
898,14898,md,attending
899,14899,rt,respiratory
900,14900,md,attending
901,14901,rn,rn
902,14902,res,resident/fellow/pa/np
903,14903,res,resident/fellow/pa/np
904,14904,rn,rn
905,14905,md,
906,14906,rn,rn
907,14907,res,resident/fellow/pa/np
908,14908,ro,read only
909,14909,res,resident/fellow/pa/np
910,14910,res,resident/fellow/pa/np
911,14911,md,attending
912,14912,md,attending
913,14913,rt,respiratory
914,14914,res,resident/fellow/pa/np
915,14915,res,resident/fellow/pa/np
916,14916,rt,respiratory
917,14917,res,resident/fellow/pa/np
918,14918,di,
919,14919,md,attending
920,14920,res,resident/fellow/pa/np
921,14921,ms,
922,14922,rn,rn
923,14923,rehab,rehabilitation
924,14924,res,resident/fellow/pa/np
925,14925,md,
926,14926,snp,
927,14927,rn,
928,14928,ro,read only
929,14929,ro,read only
930,14930,md,read only
931,14931,ro,read only
932,14932,ro,read only
933,14933,res,resident/fellow/pa/np
934,14934,rn,rn
935,14935,md,attending
936,14936,ro,read only
937,14937,ro,read only
938,14938,isops,administrator
939,14939,rn,rn
940,14940,md,
941,14941,ro,read only
942,14942,ro,read only
943,14943,md,
944,14944,md,
945,14945,md,attending
946,14946,rn,rn
947,14947,res,resident/fellow/pa/np
948,14948,rrt,read only
949,14949,rn,rn
950,14950,md,
951,14951,srt,
952,14952,res,resident/fellow/pa/np
953,14953,rn,rn
954,14954,rn,rn
955,14955,admin,administrator
956,14956,res,resident/fellow/pa/np
957,14957,rn,read only
958,14958,md,
959,14959,ro,read only
960,14960,ro,read only
961,14961,res,resident/fellow/pa/np
962,14962,rn,
963,14963,res,resident/fellow/pa/np
964,14964,md,
965,14965,rehab,rehabilitation
966,14966,ro,read only
967,14967,rn,
968,14968,rn,read only
969,14969,ro,read only
970,14970,cowker,
971,14971,rn,
972,14972,md,
973,14973,rn,rn
974,14974,ro,read only
975,14975,ro,read only
976,14976,med st,
977,14977,pct,pct/na
978,14978,md,
979,14979,issupp,administrator
980,14980,ro,read only
981,14981,ro,read only
982,14982,ro,read only
983,14983,rph,pharmacist
984,14984,ro,read only
985,14985,rn,rn
986,14986,rn,rn
987,14987,rn,rn
988,14988,rn,rn
989,14989,rn,
990,14990,rn,
991,14991,cowkr,
992,14992,rn,rn
993,14993,rn,
994,14994,cowker,
995,14995,ro,read only
996,14996,rn,
997,14997,rn,rn
998,14998,rn,
999,14999,md,
1000,15000,ro,read only
1001,15001,rn,rn
1002,15002,rnc,
1003,15003,md,
1004,15004,rn,rn
1005,15005,pca,
1006,15006,ro,read only
1007,15007,md,read only
1008,15008,md,
1009,15009,hmsiv,
1010,15010,medsty,
1011,15011,md,
1012,15012,rrt,respiratory
1013,15013,ua,
1014,15014,pct,rn
1015,15015,ro,read only
1016,15016,uc,
1017,15017,rn,rn
1018,15018,rn,read only
1019,15019,rrt,
1020,15020,rn,read only
1021,15021,ra,research assistant
1022,15022,res,resident/fellow/pa/np
1023,15023,rn,rn
1024,15024,rn,
1025,15025,rn,rn
1026,15026,ro,read only
1027,15027,rn,
1028,15028,ro,read only
1029,15029,rn,rn
1030,15030,res,resident/fellow/pa/np
1031,15031,rt,respiratory
623,14554,mds,resident/fellow/pa/np
624,14555,cowkr,
625,14556,ro,read only
626,14557,ro,read only
627,14558,md,
628,14559,rph,
629,14560,res,resident/fellow/pa/np
630,14561,pct,pct/na
631,14562,rn,
632,14563,rehab,rehabilitation
633,14564,ro,read only
634,14565,rn,rn
635,14566,rehab,rehabilitation
636,14567,md,attending
637,14568,res,resident/fellow/pa/np
638,14569,ro,read only
639,14570,res,resident/fellow/pa/np
640,14571,pct,pct/na
641,14572,res,resident/fellow/pa/np
642,14573,md,attending
643,14574,res,resident/fellow/pa/np
644,14575,res,resident/fellow/pa/np
645,14576,rn,rn
646,14577,res,resident/fellow/pa/np
647,14578,md,attending
648,14579,ro,read only
649,14580,res,resident/fellow/pa/np
650,14581,md,
651,14582,res,resident/fellow/pa/np
652,14583,ro,read only
653,14584,rn,rn
654,14585,res,resident/fellow/pa/np
655,14586,md,
656,14587,res,resident/fellow/pa/np
657,14588,rn,rn
658,14589,ro,read only
659,14590,ro,read only
660,14591,ro,read only
661,14592,uco,uco
662,14593,md,
663,14594,res,resident/fellow/pa/np
664,14595,res,resident/fellow/pa/np
665,14596,ro,read only
666,14597,rn,rn
667,14598,rnc,read only
668,14599,ro,read only
669,14600,rn,
670,14601,ro,read only
671,14602,mds,resident/fellow/pa/np
672,14603,neob,uco
673,14604,rn,
674,14605,rn,rn
675,14606,rn,rn
676,14607,rn,rn
677,14608,rn,
678,14609,rn,
679,14610,ro,read only
680,14611,res,resident/fellow/pa/np
681,14612,rt,respiratory
682,14613,md,read only
683,14614,res,resident/fellow/pa/np
684,14615,res,resident/fellow/pa/np
685,14616,res,resident/fellow/pa/np
686,14617,rehab,rehabilitation
687,14618,res,resident/fellow/pa/np
688,14619,res,resident/fellow/pa/np
689,14620,md,attending
690,14621,rd,dietitian
691,14622,uco,uco
692,14623,cm,case manager
693,14624,res,resident/fellow/pa/np
694,14625,rn,rn
695,14626,rn,rn
696,14627,issupp,administrator
697,14628,ro,read only
698,14629,md,resident/fellow/pa/np
699,14630,rrts,
700,14631,pct,pct/na
701,14632,rph,pharmacist
702,14633,ro,read only
703,14634,ro,read only
704,14635,rt,respiratory
705,14636,ro,read only
706,14637,md,attending
707,14638,rn,rn
708,14639,res,resident/fellow/pa/np
709,14640,rn,rn
710,14641,rehab,rehabilitation
711,14642,rt,respiratory
712,14643,res,resident/fellow/pa/np
713,14644,res,resident/fellow/pa/np
714,14645,rd,dietitian
715,14646,res,resident/fellow/pa/np
716,14647,rehab,rehabilitation
717,14648,res,resident/fellow/pa/np
718,14649,res,resident/fellow/pa/np
719,14650,pct,pct/na
720,14651,res,resident/fellow/pa/np
721,14652,res,resident/fellow/pa/np
722,14653,ro,read only
723,14654,res,resident/fellow/pa/np
724,14655,rt,respiratory
725,14656,res,resident/fellow/pa/np
726,14657,rn,rn
727,14658,rn,
728,14659,md,attending
729,14660,ro,read only
730,14661,ro,read only
731,14662,mds,resident/fellow/pa/np
732,14663,md,
733,14664,md,read only
734,14665,md,
735,14666,res,resident/fellow/pa/np
736,14667,md,read only
737,14668,ro,read only
738,14669,ro,read only
739,14670,md,
740,14671,ro,read only
741,14672,ro,read only
742,14673,mds,resident/fellow/pa/np
743,14674,studen,
744,14675,mds,resident/fellow/pa/np
745,14676,res,resident/fellow/pa/np
746,14677,res,resident/fellow/pa/np
747,14678,rn,rn
748,14679,res,resident/fellow/pa/np
749,14680,md,resident/fellow/pa/np
750,14681,res,resident/fellow/pa/np
751,14682,res,resident/fellow/pa/np
752,14683,rn,rn
753,14684,res,resident/fellow/pa/np
754,14685,res,resident/fellow/pa/np
288,14686,res,resident/fellow/pa/np
289,14687,sw,social worker
290,14688,rehab,rehabilitation
291,14689,uco,uco
292,14690,res,resident/fellow/pa/np
293,14691,res,resident/fellow/pa/np
294,14692,rehab,rehabilitation
295,14693,md,attending
296,14694,ro,read only
297,14695,rn,rn
298,14696,ro,read only
299,14697,md,
300,14698,ro,read only
301,14699,ro,read only
302,14700,rrt,respiratory
303,14701,np,
304,14702,md,
305,14703,res,resident/fellow/pa/np
306,14704,res,resident/fellow/pa/np
307,14705,ro,read only
308,14706,rn,rn
309,14707,rehab,rehabilitation
310,14708,md,read only
311,14709,res,resident/fellow/pa/np
312,14710,rn,rn
313,14711,ro,read only
314,14712,rn,
315,14713,ro,read only
316,14714,rn,rn
317,14715,md,
318,14716,rn,
319,14717,rn,
320,14718,mds,resident/fellow/pa/np
321,14719,rn,rn
322,14720,licsw,
323,14721,rn,read only
324,14722,md,read only
325,14723,u a,
326,14724,ro,read only
327,14725,rn,
328,14726,rn,
329,14727,res,resident/fellow/pa/np
330,14728,res,resident/fellow/pa/np
331,14729,res,resident/fellow/pa/np
332,14730,md,
333,14731,res,resident/fellow/pa/np
334,14732,rd,dietitian
335,14733,md,
336,14734,stpha,
337,14735,res,resident/fellow/pa/np
338,14736,rn,rn
339,14737,res,resident/fellow/pa/np
340,14738,rph,pharmacist
341,14739,md,resident/fellow/pa/np
342,14740,rn,
343,14741,ms,
344,14742,ro,read only
345,14743,rrt,
346,14744,rehab,rehabilitation
347,14745,res,resident/fellow/pa/np
348,14746,ro,read only
349,14747,res,resident/fellow/pa/np
350,14748,ro,read only
351,14749,res,resident/fellow/pa/np
352,14750,res,resident/fellow/pa/np
353,14751,rn,rn
354,14752,md,resident/fellow/pa/np
355,14753,ro,read only
356,14754,ro,read only
755,14755,ro,read only
756,14756,ro,read only
757,14757,rn,rn
758,14758,rn,rn
759,14759,rn,rn
760,14760,rehab,rehabilitation
761,14761,res,resident/fellow/pa/np
762,14762,rn,
763,14763,rn,rn
764,14764,rd,dietitian
765,14765,res,resident/fellow/pa/np
766,14766,res,resident/fellow/pa/np
767,14767,res,resident/fellow/pa/np
768,14768,rn,rn
769,14769,res,resident/fellow/pa/np
770,14770,md,resident/fellow/pa/np
771,14771,coopst,
772,14772,rn,rn
773,14773,neob,
774,14774,rn,
775,14775,res,resident/fellow/pa/np
776,14776,pct,pct/na
777,14777,md,attending
778,14778,res,resident/fellow/pa/np
779,14779,sw,social worker
780,14780,medstu,
781,14781,md,attending
782,14782,res,resident/fellow/pa/np
783,14783,rehab,rehabilitation
784,14784,rn,rn
785,14785,res,resident/fellow/pa/np
786,14786,md,
787,14787,rn,rn
788,14788,res,resident/fellow/pa/np
789,14789,rehab,rehabilitation
790,14790,res,resident/fellow/pa/np
791,14791,ro,read only
792,14792,pct,pct/na
793,14793,ro,read only
794,14794,md,resident/fellow/pa/np
795,14795,ro,read only
796,14796,ro,read only
797,14797,md,
798,14798,rph,pharmacist
799,14799,ra,research assistant
800,14800,medstu,
801,14801,rn,rn
802,14802,rn,rn
803,14803,rehab,rehabilitation
804,14804,rn,rn
805,14805,res,resident/fellow/pa/np
806,14806,ro,read only
807,14807,md,
808,14808,ro,read only
809,14809,rrt,
810,14810,ro,read only
811,14811,rn,rn
812,14812,res,resident/fellow/pa/np
813,14813,ro,read only
814,14814,ro,read only
815,14815,rrt,read only
816,14816,rnc,
817,14817,rn,read only
818,14818,rn,
819,14819,rph,
820,14820,ms,
821,14821,pt,
822,14822,md,
823,14823,md,
824,14824,rehab,rehabilitation
825,14825,ro,read only
826,14826,md,
827,14827,md,
828,14828,rn,read only
829,14829,mds,read only
830,14830,ro,read only
831,14831,admin,administrator
832,14832,ro,read only
833,14833,md,resident/fellow/pa/np
834,14834,rn,
835,14835,ro,read only
836,14836,ro,read only
837,14837,md,
838,14838,md,resident/fellow/pa/np
839,14839,mds,resident/fellow/pa/np
840,14840,medst,
841,14841,ro,read only
842,14842,ms,resident/fellow/pa/np
843,14843,md,
844,14844,mds,resident/fellow/pa/np
845,14845,ro,read only
846,14846,intern,resident/fellow/pa/np
847,14847,mds,
848,14848,md,
849,14849,ro,read only
850,14850,stnurs,
851,14851,md,
852,14852,ro,read only
853,14853,res,resident/fellow/pa/np
854,14854,md,
855,14855,rn,
856,14856,ro,read only
857,14857,pca,
858,14858,ro,read only
859,14859,rn,rn
860,14860,rn,
861,14861,md,
862,14862,rrt,
863,14863,rn,
864,14864,md,
865,14865,rn,
866,14866,md,
867,14867,mds,
868,14868,md,
869,14869,res,resident/fellow/pa/np
870,14870,rt,respiratory
872,14872,rn,
873,14873,ro,read only
874,14874,ro,read only
875,14875,ro,read only
876,14876,res,resident/fellow/pa/np
877,14877,res,resident/fellow/pa/np
878,14878,res,resident/fellow/pa/np
879,14879,res,resident/fellow/pa/np
880,14880,ro,read only
881,14881,rt,respiratory
882,14882,ro,read only
883,14883,res,resident/fellow/pa/np
884,14884,res,resident/fellow/pa/np
885,14885,uco,uco
886,14886,res,resident/fellow/pa/np
887,14887,md,
888,14888,md,
889,14889,cowker,
890,14890,res,resident/fellow/pa/np
226,14001,ro,read only
227,14002,ro,read only
229,14004,ar,
230,14005,md,
231,14006,md,
232,14007,md,read only
233,14008,ro,read only
234,14009,mds,
235,14010,mds,resident/fellow/pa/np
236,14011,ro,read only
237,14012,medst,
238,14013,ro,read only
239,14014,ro,read only
240,14015,ro,read only
241,14016,ro,read only
242,14017,md,
243,14018,ro,read only
244,14019,res,resident/fellow/pa/np
245,14020,rn,
246,14021,res,resident/fellow/pa/np
247,14022,res,resident/fellow/pa/np
248,14023,rn,rn
249,14024,md,attending
250,14025,md,
251,14026,mds,
252,14027,res,resident/fellow/pa/np
253,14028,res,resident/fellow/pa/np
254,14029,md,
255,14030,ro,read only
256,14031,ro,read only
257,14032,md,read only
258,14033,rt,respiratory
259,14034,res,resident/fellow/pa/np
260,14035,ro,read only
261,14036,ro,read only
262,14037,phd,attending
263,14038,res,resident/fellow/pa/np
264,14039,ro,read only
265,14040,md,
266,14041,md,
267,14042,ro,read only
268,14043,md,
269,14044,ro,read only
270,14045,md,attending
271,14046,ro,read only
272,14047,ro,read only
273,14048,ro,read only
274,14049,md,
275,14050,md,
276,14051,md,
277,14052,md,
278,14053,ro,read only
279,14054,md,resident/fellow/pa/np
280,14055,md,
281,14056,mds,resident/fellow/pa/np
282,14057,md,
283,14058,dr,read only
284,14059,ro,read only
285,14060,ro,read only
286,14061,md,read only
287,14062,md,
1,14063,res,resident/fellow/pa/np
2,14064,ro,read only
3,14065,md,
4,14066,ro,read only
5,14067,md,
6,14068,md,
7,14069,rehab,rehabilitation
8,14070,ro,read only
9,14071,ro,read only
10,14072,md,read only
11,14073,medstu,
12,14074,ro,read only
13,14075,ro,read only
14,14076,ro,read only
16,14078,rn,rn
17,14079,res,resident/fellow/pa/np
18,14080,md,attending
19,14081,sw,social worker
20,14082,ro,read only
21,14083,rt,respiratory
22,14084,rn,rn
23,14085,res,resident/fellow/pa/np
24,14086,res,resident/fellow/pa/np
25,14087,res,resident/fellow/pa/np
26,14088,ro,read only
27,14089,res,resident/fellow/pa/np
28,14090,res,resident/fellow/pa/np
29,14091,mds,resident/fellow/pa/np
30,14092,medst,
31,14093,res,resident/fellow/pa/np
32,14094,rd,dietitian
33,14095,ro,read only
34,14096,md,
35,14097,md,
36,14098,rn,
37,14099,md,
38,14100,ro,read only
39,14101,ra,read only
40,14102,md,
41,14103,md,resident/fellow/pa/np
42,14104,res,resident/fellow/pa/np
43,14105,fell,resident/fellow/pa/np
44,14106,md,
45,14107,md,
46,14108,md,
47,14109,ro,read only
48,14110,md,attending
49,14111,res,resident/fellow/pa/np
50,14112,md,
51,14113,md,attending
52,14114,pa,resident/fellow/pa/np
53,14115,h,
54,14116,md,attending
55,14117,ro,read only
56,14118,mds,
57,14119,ro,read only
58,14120,ro,read only
59,14121,st,
60,14122,ro,read only
61,14123,mds,resident/fellow/pa/np
62,14124,ro,read only
63,14125,ro,read only
64,14126,res,resident/fellow/pa/np
65,14127,res,resident/fellow/pa/np
66,14128,md,resident/fellow/pa/np
67,14129,ro,read only
68,14130,res,resident/fellow/pa/np
69,14131,ro,read only
70,14132,md,
71,14133,rn,
72,14134,ro,read only
73,14135,md,resident/fellow/pa/np
74,14136,md,read only
75,14137,imd,imd
76,14138,ms,
77,14139,ua,
78,14140,md,
79,14141,ro,read only
80,14142,mds,
81,14143,md,resident/fellow/pa/np
82,14144,md,
83,14145,pa,
84,14146,md,read only
85,14147,ro,read only
86,14148,ro,read only
87,14149,md,
88,14150,md,
89,14151,rn,rn
90,14152,md,
91,14153,ro,read only
92,14154,mds,resident/fellow/pa/np
93,14155,ro,read only
94,14156,di,dietitian
95,14157,md,
96,14158,ro,read only
97,14159,md,read only
98,14160,rn,
99,14161,ro,read only
100,14162,coopst,
101,14163,pca,
102,14164,uco,uco
103,14165,rn,
104,14166,rn,
105,14167,rrt,
106,14168,md,resident/fellow/pa/np
107,14169,rrt,respiratory
108,14170,mds,
109,14171,md,resident/fellow/pa/np
110,14172,ro,read only
111,14173,res,resident/fellow/pa/np
112,14174,res,resident/fellow/pa/np
113,14175,md,
114,14176,ro,read only
115,14177,md,
116,14178,ro,read only
117,14179,md,
118,14180,mds,resident/fellow/pa/np
119,14181,ro,read only
120,14182,rn,rn
121,14183,rph,
122,14184,np,resident/fellow/pa/np
123,14185,md,
124,14186,rn,
125,14187,rn,read only
126,14188,ms,
127,14189,ro,read only
128,14190,md,
129,14191,rn,
130,14192,md,resident/fellow/pa/np
131,14193,ro,read only
132,14194,cm,case manager
133,14195,rehab,rehabilitation
134,14196,md,
135,14197,sw,social worker
136,14198,res,resident/fellow/pa/np
137,14199,ro,read only
138,14200,md,read only
139,14201,crt,
140,14202,rt,respiratory
141,14203,ro,read only
142,14204,rn,
143,14205,rn,
144,14206,rn,rn
145,14207,ro,read only
146,14208,ro,read only
147,14209,cowkr,
148,14210,ro,read only
149,14211,rrt,respiratory
150,14212,rn,rn
151,14213,rn,rn
152,14214,rn,rn
153,14215,sn,
154,14216,res,resident/fellow/pa/np
155,14217,res,resident/fellow/pa/np
156,14218,ro,read only
